date,location,new_cases,new_deaths
2019/12/31,China,27,0
2020/1/1,China,0,0
2020/1/2,China,0,0
2020/1/3,China,17,0
2020/1/4,China,0,0
2020/1/5,China,15,0
2020/1/6,China,0,0
2020/1/7,China,0,0
2020/1/8,China,0,0
2020/1/9,China,0,0
2020/1/10,China,0,0
2020/1/11,China,0,1
2020/1/12,China,0,0
2020/1/13,China,0,0
2020/1/14,China,0,0
2020/1/15,China,0,1
2020/1/16,China,0,0
2020/1/17,China,4,0
2020/1/18,China,17,0
2020/1/19,China,136,1
2020/1/20,China,19,0
2020/1/21,China,151,3
2020/1/22,China,140,11
2020/1/23,China,97,0
2020/1/24,China,259,9
2020/1/25,China,441,15
2020/1/26,China,665,15
2020/1/27,China,787,25
2020/1/28,China,1753,25
2020/1/29,China,1466,26
2020/1/30,China,1740,38
2020/1/31,China,1980,43
2020/2/1,China,2095,46
2020/2/2,China,2590,45
2020/2/3,China,2812,57
2020/2/4,China,3237,65
2020/2/5,China,3872,66
2020/2/6,China,3727,72
2020/2/7,China,3160,73
2020/2/8,China,3418,86
2020/2/9,China,2607,89
2020/2/10,China,2974,97
2020/2/11,China,2490,108
2020/2/12,China,2028,97
2020/2/13,China,15141,254
2020/2/14,China,4156,13
2020/2/15,China,2538,143
2020/2/16,China,2007,142
2020/2/17,China,2052,105
2020/2/18,China,1890,98
2020/2/19,China,1750,139
2020/2/20,China,394,112
2020/2/21,China,891,118
2020/2/22,China,826,109
2020/2/23,China,647,98
2020/2/24,China,218,150
2020/2/25,China,515,70
2020/2/26,China,410,52
2020/2/27,China,439,29
2020/2/28,China,329,44
2020/2/29,China,428,47
2020/3/1,China,574,35
2020/3/2,China,205,42
2020/3/3,China,127,32
2020/3/4,China,119,37
2020/3/5,China,117,31
2020/3/6,China,170,30
2020/3/7,China,101,28
2020/3/8,China,46,27
2020/3/9,China,45,23
2020/3/10,China,20,17
2020/3/11,China,29,22
2020/3/12,China,24,11
2020/3/13,China,22,7
2020/3/14,China,19,15
2020/3/15,China,22,9
2020/3/16,China,25,13
2020/3/17,China,43,9
2020/3/18,China,23,16
2020/3/19,China,44,8
2020/3/20,China,99,4
2020/3/21,China,52,6
2020/3/22,China,65,6
2020/3/23,China,138,9
2020/3/24,China,69,7
2020/3/25,China,78,4
2020/3/26,China,102,6
2020/3/27,China,94,5
2020/3/28,China,119,3
2020/3/29,China,113,5
2020/3/30,China,98,2
2020/3/31,China,84,3
